Student,Race,Homework #0 (103229),Homework #1 (70214),Homework #2 (70216),Homework #3 (138547),Homework #4 (143256),Homework #5 (148768),Homework #6 (157314),Homework #7 (167572),Homework #8 (171586),Homework #9 (175735),Homework #10 (179601),Quiz #1 (103231),Quiz #2 (103235),Quiz #3 (174170),Midterm #1 (103330),Midterm #1 Take-Home (152885),Midterm #2 (182782),Midterm #2 Take-Home (183001),Final Exam (111956),Final Exam Written Portion (200981),Reflection 8/25 (103643),Reflection 8/27 (103361),Reflection 9/1 (103646),Reflection 9/3 (103645),Reflection 9/10 (103649),Reflection 9/15 (103647),Reflection 9/17 (103650),Reflection 9/24 (103727),Reflection 10/6 (111497),Reflection 10/8 (111498),Reflection 10/13 (111513),Reflection 10/15 (111504),Reflection 10/20 (111502),Reflection 10/22 (111499),Reflection 11/3 (111511),Reflection 11/17 (111506),Reflection 11/19 (111507),Reflection 11/24 (111510),Reflection 12/1 (111508),Reflection 12/3 (111509),Individual Project Paper + PowerPoint (193020),Homework Final Score,Quizzes Final Score,Midterms Final Score,Final Exam Final Score,Reflections Final Score,Project Final Score,Final Score,Final Grade
Student 1,asian,10,8,9,8,8,8,8.5,9,10,8,20,17,17,20,20,17.25,19,20.25,17,7.5,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,100,88.75,92.5,76.5,48.57,100,100,77.09,C+
Student 2,asian,10,9.5,10,10,10,10,10,10,10,7.5,17.5,20,15,20,22,23.25,18,18,16,7,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,95.42,100,81.25,45.71,100,100,79.89,C+
Student 3,caucasian,10,10,10,9.5,10,10,10,9,10,8,19,20,17,16,23,22,19,21.25,19,4.5,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,96.25,92.5,85.25,54.29,100,100,82.65,B-
Student 4,caucasian,10,10,10,10,10,10,10,10,11,10,20,20,17,17.5,25,24.5,24,24.25,24,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100.83,93.75,97.75,68.57,100,100,91.01,A-
Student 5,hispanic/latinx,10,9,10,8.5,10,10,9.5,10,11,10,19,18,19,17.5,22,22,21,22.25,23,6.5,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,100,97.5,92.5,87.25,65.71,100,100,86.35,B
Student 6,asian,10,10,10,9,10,9,10,10,10,10,20,20,20,16,22,25,24,24,22,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,98.33,100,95,62.86,100,100,88.88,B+
Student 7,caucasian,10,8,8.5,8,10,10,9,9,10,5,16.5,19,19,17.5,23,19.25,24,21,18,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,100,86.67,95,87.25,51.43,100,100,80.87,B-
Student 8,hispanic/latinx,10,9,8,9,10,9,9.5,10,9,9.5,18,20,19,13.5,24,25,23,15.25,18,6,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,92.5,97.5,87.25,51.43,100,100,82.28,B-
Student 9,caucasian,10,8,7.5,8.5,7,9,9.5,8.5,9,10,18,20,20,11,21,22,19,23,20,7,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,100,87.5,100,85,77.14,100,100,87.29,B+
Student 10,hispanic/latinx,10,9.5,10,9,9.5,9,9.5,9,10,7.5,15,20,15,16,18,20.75,19,16.75,20,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,100,90,90,74.5,57.14,100,100,78.64,C+
Student 11,caucasian,10,9.5,8.5,0,9,8,9.5,9,10,7.5,19,20,10,8.5,18,13.75,14,11,14,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,100,83.33,75,56.75,40,93.33,100,65.86,D
Student 12,caucasian,10,6,7.5,8,8.5,10,0,0,0,0,15,18,20,4,22,18.25,22,14,19,4,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,90,54.17,95,76.25,54.29,86.67,90,70.11,C-
Student 13,caucasian,10,9.5,8.5,10,9.5,9,9.5,10,10,9,14,20,19,12.5,22,21,22,18,16,5.5,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,100,90.83,97.5,83,45.71,100,100,79.25,C+
